city,year,gdp_per_capita,gdp_total,disposable_income,population,house_price,housing_burden,housing_sales_area,housing_sales_value,population_growth,university_quality,tertiary_ratio,rd_expenditure,innovation_index,listed_company_count,job_posting_count,entry_salary,rent_monthly,rent_burden
Nanjing,2021,174520.0,16355.32,66140.0,9423400.0,24505.916666666668,0.37051582501763936,,,0.011671355499407676,38.5,62.05155264464407,108.6,108.6,118.0,9177.0,68847.0,2900.0,0.5261566374357424
Nanjing,2022,178781.0,16907.85,69039.0,9491100.0,25194.666666666668,0.36493382967115207,,,0.007184243478999042,38.5,62.2352930739272,112.0,112.0,118.0,6608.0,80020.0,2900.0,0.5040629209577195
Nanjing,2023,183015.0,17421.4,72112.0,9491100.0,27933.916666666668,0.3873684916056505,,,0.0,38.5,64.14323762728597,132.5,132.5,118.0,5939.0,78974.0,2900.0,0.48258264921233635
Nanjing,2024,193483.0,18500.81,75180.0,9577000.0,30510.916666666668,0.4058382105169815,,,0.009050584231543146,38.5,66.69302587292123,145.3,145.3,118.0,5000.0,75180.0,2900.0,0.46288906624102155
Nanjing,2025,202220.0,19428.78,78243.0,9638500.0,30559.75,0.39057487570773103,,,0.006421635167588979,38.5,68.02902704132735,160.0,160.0,118.0,4836.0,73676.0,2900.0,0.4447682220773743
Suzhou,2021,176826.38272700383,22718.3,68191.0,12847800.0,22010.0,0.32276986699124516,2275.4,,0.0078079662937582395,9.7,51.30577552017537,153.8,153.8,203.0,9177.0,67854.0,2800.0,0.49273364520244606
Suzhou,2022,186000.0,23958.34,70819.0,12911000.0,24200.0,0.341716206102882,,,0.004919130123445248,9.7,51.10516838812706,167.2,167.2,203.0,6608.0,78866.0,2800.0,0.47444894731639814
Suzhou,2023,190600.0,24653.4,74076.0,12958000.0,21500.0,0.2902424536962039,1704.1,,0.003640306715203989,9.7,51.75885500635073,182.5,182.5,203.0,5939.0,77835.0,2800.0,0.45358820670662564
Suzhou,2024,206000.0,26727.0,77524.0,12987000.0,19500.0,0.2515350085134926,,,0.002237999691310444,9.7,52.412541624574395,198.3,198.3,203.0,5000.0,74076.0,2800.0,0.4334141685155565
Suzhou,2025,213000.0,27695.1,80796.0,13047700.0,22900.0,0.28342987276597853,,,0.004673904673904605,9.7,52.867835826554156,215.0,215.0,203.0,4836.0,72594.0,2800.0,0.4158621713946235
Chengdu,2021,94622.0,19917.0,45755.0,21192000.0,13937.416666666666,0.3046096965723236,,,0.012140721565780499,31.2,66.4104719586886,237.5,237.5,108.0,9255.0,64024.0,2400.0,0.6294394055294503
Chengdu,2022,98149.0,20817.5,47948.0,21268000.0,15227.333333333334,0.3175801562804149,,,0.0035862589656474597,31.2,66.4104719586886,250.2,250.2,108.0,6664.0,74414.0,2400.0,0.6006507049303412
Chengdu,2023,103465.0,22074.7,50888.0,21268000.0,17746.916666666668,0.34874462872713935,,,0.0,31.2,68.44487127797886,268.6,268.6,108.0,5971.0,73441.0,2400.0,0.56594875019651
Chengdu,2024,109669.0,23511.3,52071.0,21474000.0,18580.666666666668,0.35683329812499603,,,0.009685913108895994,31.2,69.0,129.24,129.24,108.0,5000.0,71352.0,2400.0,0.553090971942156
