city,year,metric,data_tier,category,status,attempted_sources,explanation
Changsha,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Changsha,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Changsha,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Changsha,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Changsha,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Qingdao,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Qingdao,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Xiamen,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Xiamen,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Xiamen,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Xiamen,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Xiamen,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Chongqing,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Chongqing,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Chongqing,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Chongqing,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Chongqing,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Harbin,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Harbin,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Harbin,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Harbin,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Kunming,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Kunming,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Nanchang,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Nanchang,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
