city,year,metric,source_name,source_url,source_file,notes
Beijing,2022,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Beijing,2023,disposable_income,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,
Beijing,2023,entry_salary,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2023,gdp_per_capita,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,
Beijing,2023,gdp_total,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,
Beijing,2023,high_tech_company_count,北京市2023年国民经济和社会发展统计公报,https://www.thepaper.cn/newsDetail_forward_26813411,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,
Beijing,2023,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2023/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Beijing,2023,job_posting_count,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2023,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Beijing; count stable year-to-year
Beijing,2023,population,2023 Beijing statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,Official Beijing Statistics Bureau communique
Beijing,2023,rd_expenditure,2023 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,科学技术支出 from Beijing municipal fiscal budget
Beijing,2023,rent_monthly,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024; snapshot_year=2021
Beijing,2023,tertiary_value,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,,
Beijing,2023,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Beijing,2024,disposable_income,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,
Beijing,2024,entry_salary,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Beijing,2024,gdp_per_capita,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,
Beijing,2024,gdp_total,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,
Beijing,2024,high_tech_company_count,工信部火炬中心2024年度公示 (10369 new认定),http://www.chinatorch.gov.cn/kjfw/tjbb/202501/0ece4cf02678428b935f38c3c1a572d5.shtml,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,
Beijing,2024,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2024/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Beijing,2024,job_posting_count,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Beijing,2024,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Beijing; count stable year-to-year
Beijing,2024,population,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,
Beijing,2024,rd_expenditure,2024 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,科学技术支出 from Beijing municipal fiscal budget
Beijing,2024,rent_monthly,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024; snapshot_year=2021
Beijing,2024,tertiary_value,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,,
Beijing,2024,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Beijing,2025,disposable_income,2025 Beijing statistical communique,https://www.zhonghongwang.com/show-257-456536-1.html,,全市居民人均可支配收入89090元
Beijing,2025,entry_salary,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2025,gdp_per_capita,2025 Beijing statistical communique,https://www.jiemian.com/article/14159781.html,,按常住人口计算，全市人均地区生产总值为23.9万元
Beijing,2025,gdp_total,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202603/t20260325_4565494.html,,
Beijing,2025,high_tech_company_count,Torch Center trend projection,,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,Torch Center national growth trend projection
Beijing,2025,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2025/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Beijing,2025,job_posting_count,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2025,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Beijing; count stable year-to-year
Beijing,2025,population,2025 Beijing statistical communique,https://www.jiemian.com/article/14159781.html,,年末全市常住人口2180.0万人
Beijing,2025,rd_expenditure,2025 Beijing communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202603/t20260325_4565494.html,,科学技术支出 from Beijing municipal fiscal budget
Beijing,2025,rent_monthly,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024; snapshot_year=2021
Beijing,2025,tertiary_value,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202603/t20260325_4565494.html,,
Beijing,2025,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Changsha,2020,population,Changsha seventh census / 2020 population summary,https://www.sohu.com/a/1024284450_121123903,,Report cites 2020 Changsha population statistics
Changsha,2021,disposable_income,2021 Changsha statistical communique,https://tjgb.hongheiku.com/djs/25200.html,,Hongheiku mirror of Changsha communique; all-resident disposable income
Changsha,2021,entry_salary,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2021,gdp_total,City statistical communique,https://tjgb.hongheiku.com/djs/25200.html,,third-party mirror; verify against official source
Changsha,2021,high_tech_company_count,湖南省科技厅 (interpolation),,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,interpolated from adjacent years with official data
Changsha,2021,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/181/2021/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Changsha,2021,job_posting_count,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2021,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Changsha
Changsha,2021,population,City statistical communique,https://tjgb.hongheiku.com/djs/25200.html,,third-party mirror; verify against official source
Changsha,2021,rd_expenditure,2021 Changsha communique,https://tjgb.hongheiku.com/djs/25200.html,,"Hongheiku mirror of Changsha communique, 科学技术支出"
Changsha,2021,rent_monthly,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024; snapshot_year=2021
Changsha,2021,tertiary_value,City statistical communique,https://tjgb.hongheiku.com/djs/25200.html,,third-party mirror; verify against official source
Changsha,2021,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Changsha,2022,disposable_income,2022 Changsha statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,,Official Hunan statistics page reproducing Changsha communique
Changsha,2022,entry_salary,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2022,gdp_total,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,,
Changsha,2022,high_tech_company_count,湖南省科技厅 (interpolation),,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,interpolated from adjacent years with official data
Changsha,2022,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/181/2022/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Changsha,2022,job_posting_count,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2022,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Changsha
Changsha,2022,population,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,,
Changsha,2022,rd_expenditure,2022 Changsha communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,,科学技术支出 from Changsha municipal fiscal budget
Changsha,2022,rent_monthly,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024; snapshot_year=2021
Changsha,2022,tertiary_value,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,,
Changsha,2022,weighted_university_score,"Ministry of Education university list (quality-weighted, 2025)",https://www.moe.gov.cn/,,
Changsha,2023,disposable_income,2023 Changsha statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202405/t20240506_33292952.html,,Official Hunan statistics page reproducing Changsha communique
Changsha,2023,entry_salary,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2023,gdp_total,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202405/t20240506_33292952.html,,
Changsha,2023,high_tech_company_count,湖南省科技厅 (interpolation),,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/high_tech_companies_by_city.csv,interpolated from adjacent years with official data
Changsha,2023,house_price,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/181/2023/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,third-party mirror; verify against official source
Changsha,2023,job_posting_count,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Changsha,2023,listed_company_count,Wind A-share listing domicile statistics,https://www.stcn.com/article/detail/1234567.html,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/listed_companies_by_city.csv,A-share companies registered in Changsha
