source_id,source_type,city,year,url,local_path,is_official_source,fetch_status,notes
src_0045,document,Nanjing,2022,https://tjj.nanjing.gov.cn/njstjj/202303/t20230324_3871053.html,,True,available,City statistical communique
src_0046,document,Nanjing,2023,https://tjgb.hongheiku.com/djs/46614.html,,True,available,City statistical communique
src_0047,document,Nanjing,2024,https://tjgb.hongheiku.com/djs/57850.html,,True,available,City statistical communique
src_0048,document,Nanjing,2025,https://tjgb.hongheiku.com/xjtjgb/xj2020/73718.html,,True,available,City statistical communique
src_0049,document,Qingdao,2022,https://tjgb.hongheiku.com/djs/36589.html,,True,available,City statistical communique
src_0050,document,Qingdao,2023,https://tjgb.hongheiku.com/djs/48448.html,,True,available,City statistical communique
src_0051,document,Qingdao,2024,https://tjgb.hongheiku.com/djs/58586.html,,True,available,City statistical communique
src_0052,document,Shanghai,2020,https://tjj.sh.gov.cn/tjgb/20210317/234a1637a3974c3db0cc47a37a3c324f.html,,True,available,City statistical communique
src_0053,document,Shanghai,2021,https://tjj.sh.gov.cn/tjgb/20220314/e0dcefec098c47a8b345c996081b5c94.html,,True,available,City statistical communique
src_0054,document,Shanghai,2022,https://tjj.sh.gov.cn/tjgb/20230317/6bb2cf0811ab41eb8ae397c8f8577e00.html,,True,available,City statistical communique
src_0055,document,Shanghai,2023,https://tjj.sh.gov.cn/tjgb/20240321/f66c5b25ce604a1f9af755941d5f454a.html,,True,available,City statistical communique
src_0056,document,Shanghai,2024,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,,True,available,City statistical communique
src_0057,document,Shanghai,2025,https://tjj.sh.gov.cn/tjgb/20260330/e0772941e8e041eaaad2df850b44ef98.html,,True,available,City statistical communique
src_0058,document,Shenyang,2020,http://tjj.shenyang.gov.cn/sjfb/tjgb/202207/t20220711_3409875.html,,True,available,City statistical communique
src_0059,document,Shenyang,2021,https://tjgb.hongheiku.com/djs/27930.html,,True,available,City statistical communique
src_0060,document,Shenyang,2022,https://tjgb.hongheiku.com/djs/35417.html,,True,available,City statistical communique
src_0061,document,Shenyang,2023,http://tjj.shenyang.gov.cn/sjfb/tjgb/202404/t20240411_4629092.html,,True,available,City statistical communique
src_0062,document,Shenyang,2024,https://tjgb.hongheiku.com/djs/60025.html,,True,available,City statistical communique
src_0063,document,Shenyang,2025,http://tjj.shenyang.gov.cn/sjfb/tjgb/202605/P020260519396879810015.pdf,,True,available,City statistical communique
src_0064,document,Shenzhen,2020,http://tjj.sz.gov.cn/gkmlpt/content/8/8717/post_8717370.html,,True,available,City statistical communique
src_0065,document,Shenzhen,2021,http://tjj.sz.gov.cn/gkmlpt/content/9/9763/post_9763042.html,,True,available,City statistical communique
src_0066,document,Shenzhen,2022,http://tjj.sz.gov.cn/gkmlpt/content/10/10577/post_10577661.html,,True,available,City statistical communique
src_0067,document,Shenzhen,2023,http://tjj.sz.gov.cn/gkmlpt/content/11/11264/post_11264245.html,,True,available,City statistical communique
src_0068,document,Shenzhen,2024,http://tjj.sz.gov.cn/gkmlpt/content/12/12190/post_12190509.html,,True,available,City statistical communique
src_0069,document,Shenzhen,2025,http://tjj.sz.gov.cn/zwgk/zfxxgkml/tjsj/tjgb/content/post_12803919.html,,True,available,City statistical communique
src_0070,document,Suzhou,2021,http://tjj.suzhou.gov.cn/sztjj/tjgb/202204/7fdf5b27bbcc41d2aea634e7c3a9e19e.shtml,,True,available,City statistical communique
src_0071,document,Suzhou,2022,http://tjj.suzhou.gov.cn/sztjj/tjgb/202303/833db17f2d15479791c1e3077579bb74.shtml,,True,available,City statistical communique
src_0072,document,Suzhou,2023,http://tjj.suzhou.gov.cn/sztjj/tjgb/202403/44c648294e5e4275aa371908e6b199bc.shtml,,True,available,City statistical communique
src_0073,document,Suzhou,2024,http://tjj.suzhou.gov.cn/sztjj/tjgb/202504/c77512c90a144784beba4870a6b5cc0d.shtml,,True,available,City statistical communique
src_0074,document,Suzhou,2025,http://tjj.suzhou.gov.cn/sztjj/tjgb/202604/3dc4b574cabd4e86b36ec5d3280e927c.shtml,,True,available,City statistical communique
src_0075,document,Wuhan,2020,https://tjj.wuhan.gov.cn/tjfw/tjgb/202104/t20210425_1675623.shtml,,True,available,City statistical communique
src_0076,document,Wuhan,2021,https://tjj.wuhan.gov.cn/tjfw/tjgb/202204/t20220402_1949877.shtml,,True,available,City statistical communique
src_0077,document,Wuhan,2022,https://tjj.wuhan.gov.cn/tjfw/tjgb/202303/t20230330_2177979.shtml,,True,available,City statistical communique
src_0078,document,Wuhan,2023,https://tjj.wuhan.gov.cn/tjfw/tjgb/202404/t20240405_2384677.shtml,,True,available,City statistical communique
src_0079,document,Wuhan,2024,https://tjj.wuhan.gov.cn/tjfw/tjgb/202503/t20250327_2558447.shtml,,True,available,City statistical communique
src_0080,document,Wuhan,2025,https://tjj.wuhan.gov.cn/tjfw/tjgb/202604/t20260408_2750693.shtml,,True,available,City statistical communique
src_0081,document,Xi'an,2022,https://tjgb.hongheiku.com/djs/35633.html,,True,available,City statistical communique
src_0082,document,Xi'an,2023,https://tjgb.hongheiku.com/djs/46518.html,,True,available,City statistical communique
src_0083,document,Xi'an,2024,https://qidian.sxtvs.com/timing/share/content/10583025,,True,available,City statistical communique
src_0084,document,Xiamen,2021,https://tjgb.hongheiku.com/djs/24437.html,,True,available,City statistical communique
src_0085,document,Xiamen,2022,https://tjgb.hongheiku.com/djs/38423.html,,True,available,City statistical communique
src_0086,document,Xiamen,2023,https://tjgb.hongheiku.com/djs/45732.html,,True,available,City statistical communique
src_0087,document,Xiamen,2024,https://tjgb.hongheiku.com/djs/57609.html,,True,available,City statistical communique
src_0088,document,Xiamen,2025,https://tjgb.hongheiku.com/djs/68649.html,,True,available,City statistical communique
src_0089,document,Zhengzhou,2021,https://tjgb.hongheiku.com/djs/25032.html,,True,available,City statistical communique
src_0090,document,Zhengzhou,2022,https://tjgb.hongheiku.com/djs/36348.html,,True,available,City statistical communique
src_0091,document,Zhengzhou,2023,https://tjgb.hongheiku.com/djs/47058.html,,True,available,City statistical communique
src_0092,document,Zhengzhou,2024,https://tjgb.hongheiku.com/djs/59120.html,,True,available,City statistical communique
src_0093,document,Zhengzhou,2025,https://tjgb.hongheiku.com/djs/69360.html,,True,available,City statistical communique
src_0094,document,Beijing,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0095,document,Beijing,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0096,document,Beijing,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0097,document,Beijing,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0098,document,Beijing,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0099,document,Beijing,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0100,document,Changsha,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0101,document,Changsha,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0102,document,Changsha,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0103,document,Changsha,2023,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0104,document,Changsha,2024,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0105,document,Changsha,2025,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0106,document,Chengdu,2020,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0107,document,Chengdu,2021,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
src_0108,document,Chengdu,2022,https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,True,available,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data)
