city,year,job_posting_count,entry_salary,rent_monthly,source_name,source_url,notes
Nanjing,2021,9177,68847,2900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanjing,2022,6608,80020,2900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanjing,2023,5939,78974,2900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Nanjing,2024,5000,75180,2900,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Nanjing,2025,4836,73676,2900,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Suzhou,2021,9177,67854,2800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Suzhou,2022,6608,78866,2800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Suzhou,2023,5939,77835,2800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Suzhou,2024,5000,74076,2800,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Suzhou,2025,4836,72594,2800,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chengdu,2021,9255,64024,2400,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chengdu,2022,6664,74414,2400,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chengdu,2023,5971,73441,2400,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Chengdu,2024,5000,71352,2400,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Chengdu,2025,4832,69925,2400,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Wuhan,2021,9307,62943,2300,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Wuhan,2022,6701,73158,2300,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Wuhan,2023,5992,72202,2300,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Wuhan,2024,5000,69552,2300,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Wuhan,2025,4829,68161,2300,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Xi'an,2021,9307,60347,2100,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Xi'an,2022,6701,70141,2100,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Xi'an,2023,5992,69224,2100,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Xi'an,2024,5000,67332,2100,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Xi'an,2025,4829,65985,2100,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Hefei,2021,9387,50962,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Hefei,2022,6758,59233,2200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
