city,year,house_price,source,source_url,source_file,city_zh
Beijing,2020,100.19166666666666,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Beijing,2021,100.425,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Beijing,2022,100.47500000000001,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Beijing,2023,100.15833333333335,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Beijing,2024,99.53333333333335,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Beijing,2025,99.80833333333334,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2020,100.43333333333334,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2021,100.60000000000001,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2022,100.27499999999999,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2023,100.21666666666665,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2024,99.41666666666667,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Changsha,2025,99.84166666666665,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Chengdu,2020,100.50833333333333,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
Chengdu,2021,100.20833333333333,NBS 70-city new home price index (GitHub mirror: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,/Users/zhanglelong/work/git/urban-economic-opportunity-index-1/data/raw/external/housing_index.csv,
