city,year,house_price,source,source_url,city_zh
Beijing,2020,100.19166666666666,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Beijing,2021,100.425,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Beijing,2022,100.475,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Beijing,2023,100.15833333333336,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Beijing,2024,99.53333333333336,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Beijing,2025,99.80833333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2020,100.43333333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2021,100.6,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2022,100.275,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2023,100.21666666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2024,99.41666666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Changsha,2025,99.84166666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2020,100.50833333333333,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2021,100.20833333333331,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2022,100.74166666666667,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2023,100.40833333333336,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2024,99.65833333333336,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chengdu,2025,99.85,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2020,100.38333333333333,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2021,100.65,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2022,100.0,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2023,100.16666666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2024,99.525,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Chongqing,2025,99.76666666666668,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2020,100.41666666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2021,100.41666666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2022,100.04166666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2023,99.73333333333332,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2024,99.20833333333331,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Guangzhou,2025,99.6,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2020,100.36666666666667,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2021,100.46666666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2022,100.51666666666668,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2023,100.18333333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2024,99.83333333333331,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hangzhou,2025,100.175,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2020,100.075,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2021,99.84166666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2022,99.34166666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2023,99.86666666666667,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2024,99.45,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Harbin,2025,99.79166666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hefei,2020,100.30833333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hefei,2021,100.3,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Hefei,2022,100.13333333333333,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
